ID,item_cnt_month
0,0.46006626
1,0.12788218
2,0.78712255
3,0.16753775
4,0.12788218
5,0.47614402
6,1.0283654
7,0.12656945
8,0.86758476
9,0.12788218
10,2.7365692
11,0.22355469
12,0.12855528
13,0.3152982
14,1.6207198
15,2.5487754
16,0.12788218
17,0.1271972
18,1.274603
19,0.11496252
20,0.6586004
21,0.12788218
22,0.8075154
23,0.7413965
24,1.4456774
25,0.12788218
26,0.12788218
27,0.51640385
28,0.7735095
29,3.2366054
30,0.36863378
31,0.12788218
32,0.41825613
33,0.5534572
34,0.11799372
35,0.12251201
36,0.13061199
37,0.5044917
38,0.22465849
39,0.12972896
40,0.5934707
41,1.027064
42,3.2724566
43,3.3420274
44,0.37110358
45,0.12788218
46,0.70725626
47,0.16656
48,0.23241821
49,0.8891897
50,1.3396226
51,0.22355469
52,0.64870965
53,0.17090821
54,5.844363
55,2.9197137
56,2.42709
57,2.1781456
58,5.375698
59,4.1895723
60,4.813336
61,0.43638778
62,0.36606464
63,0.35324958
64,0.12788218
65,0.12788218
66,0.7780543
67,0.12246148
68,0.37110358
69,0.14578623
70,0.12788218
71,1.7162219
72,0.4756503
73,0.98000443
74,0.12788218
75,0.12788218
76,0.3492599
77,0.12788218
78,0.3463087
79,0.6049346
80,0.9012039
81,3.2716572
82,0.765864
83,0.20863886
84,0.94731534
85,1.1715407
86,0.64825505
87,0.13156469
88,3.3439286
89,1.2762793
90,0.75437665
91,0.37696993
92,2.1240106
93,0.16753775
94,0.20014453
95,0.12213037
96,0.12246148
97,0.43645728
98,0.65370506
99,1.4261243
100,0.51633954
101,0.6660222
102,0.23847623
103,0.37696993
104,0.12107347
105,0.12788218
106,0.12788218
107,0.5197816
108,0.12912884
109,0.12788218
110,0.21050489
111,0.12788218
112,0.12788218
113,0.12788218
114,0.29591113
115,0.25414768
116,0.12788218
117,0.14858088
118,9.052798
119,0.1376875
120,0.117434695
121,0.11766218
122,0.34291577
123,0.50805163
124,0.5189674
125,1.130572
126,0.12788218
127,0.12220055
128,0.12788218
129,0.23161688
130,0.37696993
131,0.12788218
132,0.37696993
133,2.8865905
134,0.11835531
135,0.37696993
136,0.22355469
137,0.12788218
138,0.90330565
139,0.12788218
140,0.20320006
141,0.4617287
142,0.14493886
143,0.22355469
144,0.12788218
145,0.12788218
146,0.12788218
147,0.16604841
148,0.12788218
149,0.12788218
150,0.12548947
151,0.12788218
152,5.539392
153,0.26519087
154,0.12788218
155,0.15005167
156,0.21467888
157,0.122922
158,0.17039172
159,0.3751607
160,0.12788218
161,0.22355469
162,0.12788218
163,0.45601618
164,0.3461164
165,0.13243805
166,0.53512913
167,0.13114119
168,0.12788218
169,0.13955335
170,0.22355469
171,0.5619152
172,0.350565
173,1.2029402
174,1.4751393
175,2.7087066
176,1.2387261
177,0.12788218
178,0.47222185
179,0.12498508
180,0.99011064
181,0.39246106
182,0.12788218
183,0.1523734
184,0.2257652
185,0.12788218
186,0.120995164
187,0.14995676
188,0.12788218
189,0.12788218
190,0.12788218
191,0.5967048
192,0.5934707
193,0.14306436
194,0.122922
195,0.15520038
196,0.37696993
197,2.3222382
198,1.1039139
199,0.12788218
200,0.12788218
201,0.12788218
202,0.19487272
203,1.224535
204,0.1255115
205,0.12788218
206,0.12788218
207,0.124492116
208,1.3060492
209,0.5064938
210,0.21888305
211,0.13341364
212,0.117385805
213,0.37696993
214,0.12698834
215,0.60426944
216,0.4470762
217,0.2380125
218,1.9710039
219,0.44724995
220,0.40520912
221,0.12788218
222,0.12788218
223,0.75784856
224,2.6251962
225,0.36091918
226,0.3953054
227,0.12788218
228,0.21588993
229,0.12788218
230,0.12788218
231,0.48315644
232,0.12788218
233,0.3738848
234,0.12788218
235,0.15633789
236,0.19512132
237,0.367303
238,0.37696993
239,0.17316818
240,0.80473644
241,0.118558586
242,0.12788218
243,0.12788218
244,0.12788218
245,0.24821475
246,1.6546239
247,0.4583062
248,0.51536757
249,0.1311416
250,0.70209897
251,0.17088501
252,0.21424228
253,1.047645
254,0.37958264
255,5.539392
256,0.12788218
257,0.17330934
258,0.47738117
259,0.22284518
260,0.11621289
261,0.13042083
262,0.2092632
263,0.12788218
264,0.11635403
265,0.41868484
266,0.12788218
267,0.22355469
268,0.12251201
269,0.13280141
270,1.0463197
271,0.12688941
272,0.18452564
273,0.6660222
274,11.233759
275,0.12788218
276,0.37696993
277,1.4348822
278,0.38710183
279,0.19269134
280,0.18775451
281,0.17025416
282,0.14594546
283,0.7082659
284,0.18775451
285,0.24021159
286,0.12788218
287,0.8600602
288,0.24348368
289,0.37696993
290,0.12788218
291,0.12917823
292,0.27002484
293,0.15265116
294,0.7792623
295,0.97543156
296,0.17221157
297,0.17185117
298,0.12788218
299,0.12788218
300,0.13441628
301,0.42950833
302,0.8205894
303,0.7038739
304,0.122922
305,0.124492116
306,0.2347261
307,0.1727842
308,0.27719402
309,0.12788218
310,0.12788218
311,0.3899716
312,0.83043265
313,0.19269134
314,0.12788218
315,0.37696993
316,0.13918129
317,2.102918
318,0.1187521
319,0.17178147
320,0.12788218
321,0.12668885
322,0.7119076
323,0.15266794
324,0.41951787
325,0.43627274
326,0.36139452
327,0.12788218
328,0.12788218
329,0.35957968
330,0.12788218
331,0.12788218
332,0.1635797
333,0.26251853
334,0.9000907
335,0.26587987
336,0.12608969
337,0.73936176
338,0.37591267
339,0.39194375
340,0.1310391
341,0.2324536
342,0.12788218
343,0.9866491
344,0.11847475
345,0.145942
346,4.2751913
347,3.4588804
348,0.123739704
349,0.2675703
350,0.12788218
351,0.49219793
352,0.12788218
353,0.13073239
354,0.12788218
355,0.12788218
356,0.37696993
357,0.7792623
358,0.5795566
359,0.37696993
360,0.16753775
361,3.225269
362,0.6660222
363,0.9000907
364,0.465818
365,0.49230427
366,0.12788218
367,0.12788218
368,0.12788218
369,0.18150195
370,0.12788218
371,0.37696993
372,0.6660222
373,0.12788218
374,1.3973024
375,2.385252
376,0.45450795
377,0.24021159
378,0.41160566
379,0.12788218
380,2.8223026
381,0.49230427
382,0.48138642
383,0.12788218
384,1.6723113
385,0.3886513
386,0.47597343
387,0.12788218
388,0.17166004
389,0.12465516
390,0.12788218
391,0.14460519
392,0.17779331
393,0.3828615
394,0.12788218
395,0.12788218
396,1.9503585
397,0.35025543
398,0.12788218
399,0.4053744
400,0.12788218
401,0.42546964
402,1.5692141
403,2.4081678
404,0.35233778
405,0.15260531
406,0.1454484
407,0.12894362
408,0.14148724
409,0.12788218
410,0.12788218
411,0.9991264
412,0.10251376
413,0.19016446
414,0.12788218
415,4.185503
416,0.12788218
417,0.12788218
418,0.12788218
419,0.12788218
420,0.399145
421,1.342683
422,0.37696993
423,0.9443767
424,0.13461575
425,0.18123816
426,0.12788218
427,0.12788218
428,1.0113597
429,0.4341309
430,0.81318223
431,0.64867383
432,0.12394243
433,0.12788218
434,0.11775708
435,0.78167635
436,0.14638227
437,0.8203894
438,0.5439678
439,0.650854
440,0.15040371
441,0.1771332
442,0.22355469
443,0.19542845
444,0.13461575
445,0.3258689
446,0.21708655
447,0.20865367
448,0.37696993
449,0.5938807
450,0.37696993
451,0.19802684
452,0.16283372
453,0.22026575
454,0.40851173
455,0.1765066
456,0.3781712
457,0.12788218
458,0.5024548
459,0.5256228
460,15.741825
461,1.1869105
462,0.37696993
463,0.6154991
464,0.5362618
465,0.12788218
466,0.12788218
467,0.12788218
468,0.12788218
469,0.26235467
470,0.37696993
471,0.3538372
472,0.16753775
473,0.12788218
474,0.99011064
475,1.342683
476,0.12788218
477,0.12547556
478,0.1309156
479,0.12788218
480,0.12788218
481,0.12788218
482,0.130614
483,0.37696993
484,0.8865801
485,0.4466666
486,0.5141261
487,0.12685847
488,0.12788218
489,2.269449
490,0.17638594
491,0.12788218
492,0.38881683
493,0.12788218
494,0.36646193
495,0.13198772
496,0.14460519
497,0.12788218
498,5.2682076
499,0.12788218
500,0.12788218
501,0.5015112
502,0.4138017
503,0.12788218
504,1.1538283
505,0.66276664
506,0.926311
507,0.14023688
508,0.8769709
509,0.29286993
510,0.16295138
511,0.12981285
512,0.21872912
513,0.12788218
514,0.12394243
515,0.12788218
516,0.22355469
517,0.5262365
518,0.8779849
519,0.4715234
520,0.388291
521,0.47428262
522,0.58948004
523,1.3192877
524,0.16753775
525,0.5005614
526,0.1879983
527,0.1690124
528,0.122922
529,0.13077518
530,0.12788218
531,0.5911971
532,0.13009001
533,0.11515798
534,0.12788218
535,0.12086562
536,0.12788218
537,0.13704279
538,0.2807674
539,0.1782824
540,0.72414273
541,0.12788218
542,0.20660357
543,0.1356294
544,0.12246148
545,0.12788218
546,0.36891294
547,0.13300058
548,0.12498508
549,0.13319674
550,0.12788218
551,0.2659887
552,0.52408886
553,0.13587971
554,0.13042083
555,0.32687598
556,0.14132199
557,0.18775451
558,0.12788218
559,0.14923826
560,0.2630763
561,0.7251237
562,0.12544817
563,0.12788218
564,0.12788218
565,0.12703463
566,0.16504425
567,0.12788218
568,0.1834316
569,0.12540182
570,0.12788218
571,0.12788218
572,0.7792623
573,0.25153333
574,0.12788218
575,0.12788218
576,0.2564738
577,0.12788218
578,0.12788218
579,0.37147063
580,0.12788218
581,0.12788218
582,0.12788218
583,0.12788218
584,0.79178935
585,0.11931445
586,0.12788218
587,0.5362228
588,2.503472
589,0.16786398
590,0.4804421
591,0.29783338
592,2.2593591
593,0.13069762
594,0.1463969
595,0.19287297
596,0.16039893
597,0.12788218
598,0.13080236
599,0.12788218
600,0.13817202
601,0.15461908
602,0.12788218
603,0.12251201
604,0.22391376
605,0.12801772
606,0.12668613
607,0.12788218
608,0.13158473
609,0.3890822
610,0.3419097
611,0.6316301
612,0.12788218
613,0.12788218
614,0.12788218
615,0.83429784
616,0.37696993
617,0.26532525
618,0.48138642
619,0.14460519
620,0.35705054
621,0.12788218
622,0.12788218
623,0.4896506
624,0.37696993
625,0.37696993
626,0.7792623
627,0.12788218
628,0.122794874
629,0.16753775
630,0.22949699
631,0.12788218
632,0.16753775
633,0.12788218
634,0.53950435
635,0.2782531
636,0.12788218
637,0.21909264
638,0.2140823
639,0.13096741
640,0.5043298
641,0.71285224
642,0.13912421
643,0.12788218
644,0.1187521
645,0.12788218
646,0.7792623
647,0.14460519
648,0.12788218
649,0.16753775
650,0.2381198
651,0.8137101
652,0.12788218
653,0.16747022
654,0.13422523
655,0.37696993
656,0.3374191
657,0.12788218
658,0.12788218
659,0.146198
660,0.50569403
661,0.2018647
662,0.12788218
663,0.977964
664,0.11533745
665,0.35500592
666,0.16980885
667,0.12788218
668,0.6660222
669,0.16753775
670,0.13844216
671,0.13450202
672,0.119364396
673,0.5908198
674,0.12788218
675,0.12788218
676,0.47808838
677,0.7262944
678,0.22355469
679,0.74826795
680,0.12788218
681,0.13236879
682,0.23964685
683,0.12788218
684,0.6660222
685,0.37696993
686,0.32687598
687,0.37696993
688,0.3115425
689,0.12788218
690,0.12788218
691,0.15459687
692,0.15286635
693,0.13355446
694,0.12788218
695,0.8263044
696,0.12788218
697,0.12788218
698,0.12788218
699,0.12788218
700,1.342683
701,0.12788218
702,1.3789254
703,1.3789254
704,0.12788218
705,0.12788218
706,0.14613086
707,0.12788218
708,0.13307838
709,2.1435626
710,0.22821122
711,0.31498313
712,0.12788218
713,0.4226472
714,0.22355469
715,0.12788218
716,0.42981803
717,0.22465849
718,0.12788218
719,0.12788218
720,0.12788218
721,0.5210124
